"","Headline","Publication","Summary","Date"
"76","Xinjiang trade slows, but imports way up","China Daily, 308 words",NA,2020-03-24
"77","Lies about Xinjiang absurd: China Daily editorial","China Daily, 505 words",NA,2020-02-23
"78","Who gives US the right to lecture China about rights?","China Daily, 713 words",NA,2019-12-10
"79","Xinjiang forecasts double-digit growth in air passengers","China Daily, 282 words",NA,2020-01-20
"80","Officials call claims of detention of Xinjiang students in Wuhan 'ridiculous'","China Daily, 592 words",NA,2020-03-03
"81","Xinjiang smears built on shaky grounds","China Daily, 426 words",NA,2019-12-30
"82","US legislation criticized by global experts","China Daily, 668 words",NA,2019-12-11
"83","Xinjiang transmits record high of electricity to grid in 2019","China Daily, 285 words",NA,2020-01-20
"84","Missing' Uygurs found living happy lives","China Daily, 465 words",NA,2019-12-25
"85","Grid project completion brings stable electricity to southern Xinjiang","China Daily, 281 words",NA,2020-01-03
"86","It's a rap","China Daily, 259 words",NA,2019-12-28
"87","Xinjiang 's anti-poverty steps achieving fruitful results","China Daily, 442 words",NA,2020-04-04
"88","West viewing Xinjiang through prism of bias","China Daily, 448 words",NA,2019-07-12
"89","No risk of large-scale virus infections in Xinjiang education, training centers: Authorities","China Daily, 381 words",NA,2020-02-23
"90","White paper: There has never been an 'East Turkistan' state","China Daily, 541 words",NA,2019-07-22
"91","Volunteer medics a tonic for rural residents","China Daily, 499 words",NA,2019-12-11
"92","Trainee infection information 'baseless'","China Daily, 395 words",NA,2020-02-24
"93","It is the US that needs to reflect on its strategy in anti-terrorism fight: China Daily editorial","China Daily, 456 words",NA,2019-12-08
"94","Modern technology a class act for distant schools","China Daily, 325 words",NA,2020-01-08
"95","Xinjiang still China's largest cotton producer in 2019","China Daily, 368 words",NA,2020-01-08
"96","Claims 'made up' in Western media sources","China Daily, 632 words",NA,2020-01-13
"97","Rare horses ride out the wild winter","China Daily, 456 words",NA,2020-03-13
"98","US support of Uygurs opportunistic","China Daily, 450 words",NA,2019-09-26
"99","Ethnic treasures cherished by locals and visitors alike","China Daily, 261 words",NA,2019-06-07
"100","Yurt co-op gives tourists taste of Corban Festival in Xinjiang","China Daily, 526 words",NA,2019-08-12
"101","Western reports called fabrications","China Daily, 570 words",NA,2019-12-04
"102","Infrastructure picks up speed in Xinjiang","China Daily, 412 words",NA,2020-01-07
"103","US cannot shame anti-extremism efforts in Xinjiang","China Daily, 740 words",NA,2019-11-01
"104","More Western lies about Uygurs in Xinjiang : China Daily editorial","China Daily, 466 words",NA,2020-03-03
"105","Authority: Ethnicities, beliefs not targeted","China Daily, 636 words",NA,2019-12-06
"106","Ozil shoots himself in the foot over Xinjiang","China Daily, 912 words",NA,2019-12-25
"107","Groundless Xinjiang accusations out of bias: China Daily editorial","China Daily, 508 words",NA,2020-03-12
"108","Xinjiang government slams media reports on 'classified documents'","China Daily, 369 words",NA,2019-11-29
"109","Xinjiang 'holocaust' claims serve Washington's aims","China Daily, 530 words",NA,2019-07-08
"110","Internet is key to improved health services","China Daily, 398 words",NA,2019-12-11
"111","An integral part of Chinese culture","China Daily, 446 words",NA,2019-07-22
"112","Xinjiang aims to lure more tourists","China Daily, 493 words",NA,2020-01-15
"113","Bad intentions, not low IQ, prompt US politicians to believe lie on Xinjiang","China Daily, 417 words",NA,2019-12-28
"114","TCM prompts more visits from the neighbors","China Daily, 1589 words",NA,2019-04-25
"115","Rail workers get on the right track","China Daily, 569 words",NA,2020-02-03
"116","Online doctors offer free services","China Daily, 230 words",NA,2020-03-02
"117","Xinjiang to invest 3.19b yuan in 10 airport projects","China Daily, 233 words",NA,2020-03-21
"118","Officials deny students being held in Wuhan","China Daily, 626 words",NA,2020-03-04
"119","West's ranting over Xinjiang goes against historical facts","China Daily, 479 words",NA,2019-07-22
"120","Xinjiang prospers at fast track","China Daily, 752 words",NA,2019-12-13
"121","Hypocritical silence on Xinjiang : China Daily editorial","China Daily, 467 words",NA,2019-12-09
"122","Villagers embrace new life after relocation projects in Xinjiang","China Daily, 421 words",NA,2019-12-16
"123","Tsinghua opens online classes to universities in Wuhan","China Daily, 236 words",NA,2020-03-12
"124","Officials: Xinjiang 'name list' terrorist hoax","China Daily, 627 words",NA,2020-02-24
"125","Vocational trainees find good jobs","China Daily, 597 words",NA,2019-07-31
"126","Stability and new opportunities raising living standards","China Daily, 1423 words",NA,2019-06-24
"127","Foreign diplomats praise government's efforts in western region","China Daily, 1156 words",NA,2019-08-26
"128","Education helping fight terror","China Daily, 634 words",NA,2019-08-17
"129","Xinjiang focuses on building new roads","China Daily, 296 words",NA,2020-03-24
"130","Livestock and poultry gene bank to be established in Xinjiang","China Daily, 575 words",NA,2020-01-02
"131","New rice strains offer brighter future for nomadic herders in Xinjiang","China Daily, 589 words",NA,2020-01-03
"132","Improving body and mind: Things to do at home","China Daily, 201 words",NA,2020-02-11
"133","Eminent artist opens online courses","China Daily, 248 words",NA,2020-03-05
"134","Trainees 'have all graduated' from centers","China Daily, 557 words",NA,2019-12-10
"135","Finding a new station in life","China Daily, 695 words",NA,2020-03-03
"136","Western data on Uygurs has serious flaws","China Daily, 605 words",NA,2019-12-30
"137","Photographer finds things really click in countryside","China Daily, 493 words",NA,2019-11-13
"138","Train departs to bring cargo to foreign countries","China Daily, 286 words",NA,2020-02-26
"139","Unfounded, unwarranted and ill-willed","China Daily, 527 words",NA,2019-10-31
"140","Blazing a rail through China's scenic northwest","China Daily, 257 words",NA,2020-01-29
"141","Xinjiang medical worker lifts patients' spirits by teaching ethnic dance","China Daily, 743 words",NA,2020-02-17
"142","Many ethnic groups, one nationality","China Daily, 404 words",NA,2019-07-22
"143","Xinjiang will not be allowed to be like Afghanistan","China Daily, 422 words",NA,2019-08-15
"144","Xinjiang official hails regional human rights progress at UN","China Daily, 371 words",NA,2019-06-27
"145","Herders revel in tradition and tourism","China Daily, 1610 words",NA,2019-10-24
"146","Training centers in Xinjiang offer hope","China Daily, 333 words",NA,2020-03-05
"147","Xinjiang discover two rare larkspurs","China Daily, 257 words",NA,2020-01-20
"148","‪Remote work platforms quickly being adapted across China","China Daily, 305 words",NA,2020-02-10
"149","China denounces US human rights report on Xinjiang","China Daily, 301 words",NA,2020-03-12
"150","CR Express' first block train of international postal parcels departs from Chongqing to Europe","China Daily, 388 words",NA,2020-04-04
"151","Xinjiang 's fight against extremism, terrorism paying off","China Daily, 508 words",NA,2019-09-19
"152","Marriage postponed in supreme act of love","China Daily, 756 words",NA,2020-02-20
"153","Xinjiang maps out plan to be one of largest milk production bases","China Daily, 256 words",NA,2020-01-03
"154","Pompeo's stain slur sticks to the US","China Daily, 422 words",NA,2019-07-20
"155","IN BRIEF (Page 4)","China Daily, 569 words",NA,2019-10-11
"156","Center promotes importance of making a legal will","China Daily, 439 words",NA,2019-08-28
"157","Response downgraded, but battle goes on","China Daily, 371 words",NA,2020-02-27
"158","Xinjiang bans wild animal trade, circuses with live animals","China Daily, 329 words",NA,2020-02-09
"159","Exhibition on ethnic cultures gets new look at Shanghai Museum","China Daily, 604 words",NA,2019-11-01
"160","Kazak restaurateur's passion produces cultural harvest","China Daily, 767 words",NA,2019-08-12
"161","Tree-planting programs defy deserts and drought","China Daily, 1645 words",NA,2019-06-20
"162","New rice strain set to boost food security","China Daily, 1459 words",NA,2019-08-16
"163","Relocation of herders helps restore ecosystem around Xinjiang lake","China Daily, 431 words",NA,2019-07-10
"164","Blue Book takes close look at Chinese border","China Daily, 314 words",NA,2020-01-14
"165","Exhibition shows how a modern master let nature nurture his art","China Daily, 306 words",NA,2020-01-14
"166","AI gives potential suicides pause for thought","China Daily, 443 words",NA,2020-03-30
"167","US attempts to colonize global business continue","China Daily, 435 words",NA,2019-05-24
"168","Nation ready for possible locust invasion","China Daily, 398 words",NA,2020-03-03
"169","Xinjiang helps neighbors with telemedicine","China Daily, 597 words",NA,2019-08-27
"170","Eating them not the answer to plagues of locusts","China Daily, 357 words",NA,2020-02-24
"171","Seeing horror of terror attacks made things very clear for me","China Daily, 728 words",NA,2019-12-10
"172","Taxing job takes a toll on family life","China Daily, 323 words",NA,2020-02-03
"173","Cultural connections","China Daily, 1281 words",NA,2019-08-01
"174","54 countries voice support for efforts to fight terrorism in Xinjiang","China Daily, 761 words",NA,2019-10-31
"175","IN BRIEF (Page 4)","China Daily, 567 words",NA,2019-08-13
"176","Takeaway economy resumes as orders soar","China Daily, 413 words",NA,2020-03-13
"177","China finds support over Xinjiang from Gulf Cooperation Council","China Daily, 678 words",NA,2019-09-26
"178","Cooler Xinjiang lures tourists beat by heat","China Daily, 495 words",NA,2019-07-19
"179","Ministry 'appalled' by US, EU rights abuses","China Daily, 333 words",NA,2019-12-10
"180","GAC issues China-Europe freight measures","China Daily, 462 words",NA,2020-02-24
"181","Xinjiang condemns US for awarding fugitive","China Daily, 445 words",NA,2020-03-13
"182","Clean water projects a splash in Xinjiang","China Daily, 545 words",NA,2019-07-17
"183","Uygurs upset by posts calling them missing","China Daily, 865 words",NA,2019-12-30
"184","Delegation visits Qatar , Kuwait and Saudi Arabia","China Daily, 376 words",NA,2019-11-29
"185","Criticism of anti-terror efforts unfair, FM says","China Daily, 780 words",NA,2019-09-27
"186","Former energy leader pleads guilty to bribery","China Daily, 214 words",NA,2019-07-26
"187","Audio project to echo down the years","China Daily, 738 words",NA,2019-11-01
"188","US has no right to poke nose in Xinjiang","China Daily, 887 words",NA,2019-11-28
"189","Mosques refurbished to cater for Ramadan prayers","China Daily, 479 words",NA,2019-06-06
"190","Belt, Road to facilitate travel work","China Daily, 514 words",NA,2019-04-29
"191","More than just a picture","China Daily, 421 words",NA,2020-01-10
"192","Pence must abandon Cold War mind-set to show he really means what he says","China Daily, 830 words",NA,2019-10-29
"193","Meeting on president's book addresses translation to ethnic minority languages","China Daily, 238 words",NA,2019-07-23
"194","Extended break ends for more students","China Daily, 583 words",NA,2020-03-30
"195","Freight trains on track to drive Xinjiang economy","China Daily, 1703 words",NA,2019-06-28
"196","Chunyun bears witness to the changing tides in travel","China Daily, 401 words",NA,2020-01-21
"197","Imports of Kazakhstan beef to help raise supply in Beijing","China Daily, 464 words",NA,2020-01-21
"198","Former Afghanistan president praises China's Xinjiang policy","China Daily, 386 words",NA,2019-12-04
"199","Ex- Xinjiang chairman sentenced to life for graft","China Daily, 372 words",NA,2019-12-03
"200","FM calls for Europe, Central Asia to boost ties with China","China Daily, 422 words",NA,2019-11-30
"201","Missive that went missing for centuries","China Daily, 806 words",NA,2019-09-28
"202","Renovation helps Old City become new attraction","China Daily, 1479 words",NA,2019-07-09
"203","Pompeo's divisive bid to no avail: China Daily editorial","China Daily, 477 words",NA,2020-02-03
"204","GAC Acura RDX provides new access and comfort to roads untraveled","China Daily, 873 words",NA,2019-09-24
"205","Wanda Moments unveils new property in Shanghai","China Daily, 380 words",NA,2019-10-26
"206","Ex-energy head charged with corrupt behavior","China Daily, 212 words",NA,2019-05-08
"207","US lawmakers futilely seek to sow seeds of trouble in China: editorial","China Daily, 446 words",NA,2020-01-30
"208","Air pollution tops number of complaints to protection authorities","China Daily, 419 words",NA,2019-12-14
"209","This Day, That Year","China Daily, 353 words",NA,2019-10-16
"210","Migrants get back to work with govt help","China Daily, 630 words",NA,2020-03-07
"211","Guangdong , Jiangsu GDPs estimated at over 10t yuan in 2019","China Daily, 482 words",NA,2020-01-16
"212","China to reopen cinemas with Harry Potter in 3D","China Daily, 654 words",NA,2020-03-20
"213","White cannot be called black in Xinjiang","China Daily, 676 words",NA,2019-07-10
"214","Pompeo's China-bashing McCarthyism: China Daily editorial","China Daily, 501 words",NA,2020-02-10
"215","Efforts to eliminate extremism should be lauded","China Daily, 949 words",NA,2019-10-10
"216","FM begins visit to Africa, makes first stop in Cairo","China Daily, 490 words",NA,2020-01-09
"217","Tech decoupling will not keep US first: China Daily editorial","China Daily, 488 words",NA,2020-01-08
"218","On our Sina Weibo","China Daily, 272 words",NA,2019-07-17
"219","Cloud tools becoming popular with more employees","China Daily, 567 words",NA,2020-02-12
"220","Nobel scientist up for prestigious award","China Daily, 315 words",NA,2019-08-29
"221","Diplomats from African countries visit Xinjiang","China Daily, 387 words",NA,2019-09-20
"222","Right to freedom of religion better protected","China Daily, 895 words",NA,2019-09-25
"223","Some juvenile offenders will get another chance with seal on their criminal past","China Daily, 449 words",NA,2019-12-11
"224","US 'behind the curve' because it has failed to act timely on information given by China: China Daily editorial","China Daily, 553 words",NA,2020-03-08
"225","Sino- Kyrgyz anti-terror drill keeps soldiers in top shape","China Daily, 332 words",NA,2019-08-08
"226","Winning a battle in war on poverty","China Daily, 471 words",NA,2020-01-01
"227","Human rights protected 'at every level'","China Daily, 703 words",NA,2019-06-06
"228","Xi calls for advancing ties to higher level","China Daily, 495 words",NA,2019-12-24
"229","Husbandry brings in income for herdsmen","China Daily, 268 words",NA,2019-06-14
"230","A place where modern and ancient worlds collide","China Daily, 396 words",NA,2019-11-18
"231","West devious human rights standard bearer","China Daily, 431 words",NA,2019-11-04
"232","Swimming pool makes a splash in the land of fire in Xinjiang","China Daily, 298 words",NA,2019-08-10
"233","Everything looks yellow to the US ' jaundiced eye","China Daily, 784 words",NA,2019-07-05
"234","27 people fined for trespassing in restricted nature reserve area","China Daily, 455 words",NA,2019-11-20
"235","Ozil, badmouthing Xinjiang makes you look silly","China Daily, 481 words",NA,2019-12-14
"236","US urged not to back anti-China separatists","China Daily, 400 words",NA,2019-09-24
"237","Foreign Investment Law draft implementation approved","China Daily, 529 words",NA,2019-12-14
"238","Xinjiang tourism trains ease travel around region","China Daily, 371 words",NA,2019-10-04
"239","Cold front to bring gales and heavy snowfalls","China Daily, 436 words",NA,2019-11-18
"240","Ministry rips US paper over 'clumsy tricks' in report on Xinjiang","China Daily, 469 words",NA,2019-11-19
"241","Winter tourism booming in nation, but expansion hindered by problems","China Daily, 531 words",NA,2020-01-07
"242","Conference incorporates tech into poverty alleviation, language learning","China Daily, 461 words",NA,2019-10-24
"243","More crop farmers turning to drone use","China Daily, 451 words",NA,2019-11-12
"244","On chinadaily.com.cn","China Daily, 393 words",NA,2019-09-24
"245","Urumqi mediation room resolves BRI disputes","China Daily, 374 words",NA,2019-09-20
"246","Authorities call for Pakistan , China to unite on locust swarm","China Daily, 709 words",NA,2020-03-18
"247","China to invest 800b yuan in railways in 2020","China Daily, 542 words",NA,2019-12-27
"248","India 's act puts West's hypocrisy in spotlight: China Daily editorial","China Daily, 501 words",NA,2019-12-18
"249","Vigilance and vegetables boost border lifestyle","China Daily, 1691 words",NA,2019-11-18
"250","Historical Matters Concerning Xinjiang","China Daily, 6925 words",NA,2019-07-22
"251","Xinjiang govt decries attacks by celebrities","China Daily, 565 words",NA,2020-01-06
"252","Xinjiang delegation pays visit to Germany","China Daily, 426 words",NA,2019-09-09
"253","Never too late to correct your mistakes","China Daily, 393 words",NA,2019-09-06
"254","Schools start classes again in Qinghai","China Daily, 708 words",NA,2020-03-12
"255","Top US diplomat still unashamedly undiplomatic","China Daily, 637 words",NA,2020-02-06
"256","Pompeo should see Xinjiang first-hand","China Daily, 426 words",NA,2019-10-10
"257","US using Xinjiang to suppress China","China Daily, 425 words",NA,2019-10-09
"258","New forests help battle sandstorms","China Daily, 420 words",NA,2019-10-07
"259","Beijing slams fictional source in book penned by White House adviser","China Daily, 430 words",NA,2019-10-23
"260","Wintry weather wreaking havoc with transportation across widespread areas","China Daily, 494 words",NA,2019-12-17
"261","Top 5 loneliest occupations in China","China Daily, 361 words",NA,2019-09-03
"262","Minister reviews diplomacy in 2019","China Daily, 597 words",NA,2019-12-25
"263","Pence's speech hit over 'prejudice and lies'","China Daily, 442 words",NA,2019-10-26
"264","This Day, That Year","China Daily, 321 words",NA,2019-06-17
"265","10m expected to escape poverty","China Daily, 588 words",NA,2019-12-23
"266","Visitors can explore maze of minerals at Koktokay township's mining site","China Daily, 347 words",NA,2019-07-19
"267","Leaked documents get distorted makeover","China Daily, 512 words",NA,2019-11-28
"268","Village relies on farm tech to bring in fortune","China Daily, 351 words",NA,2019-07-18
"269","New airport approved in autonomous region","China Daily, 360 words",NA,2019-07-17
"270","Xi urges closer ties with Micronesia","China Daily, 569 words",NA,2019-12-14
"271","Inner Mongolia to spur innovation in efforts to combat desertification","China Daily, 479 words",NA,2019-09-27
"272","Fighting extinction with folk songs","China Daily, 594 words",NA,2020-01-24
"273","Xinjiang homes benefit from natural gas project","China Daily, 338 words",NA,2019-07-16
"274","Shale oil efforts gather momentum","China Daily, 862 words",NA,2019-06-12
"275","UN envoys pay visit to Xinjiang to realize region's achievements","China Daily, 446 words",NA,2019-09-05
"276","UN envoy bristles at interference","China Daily, 465 words",NA,2019-10-24
"277","IN BRIEF (Page 2)","China Daily, 347 words",NA,2019-07-06
"278","Diplomat: Stability key to Xinjiang gains","China Daily, 363 words",NA,2019-07-06
"279","Free haircuts offered as medical staff shave to stave off infection","China Daily, 639 words",NA,2020-02-18
"280","Thunderstorms, heat waves expected to increase stress on college applicants","China Daily, 335 words",NA,2019-06-05
"281","Xinjiang embraces future with vitality and stability","China Daily, 1093 words",NA,2019-09-30
"282","Man set free after 10-year battle to overturn ruling","China Daily, 571 words",NA,2019-12-04
"283","Mercedes-Benz backs new SUV to maintain edge in China market","China Daily, 417 words",NA,2019-08-26
"284","Tourists looking longingly at holidays on eased outbreak","China Daily, 825 words",NA,2020-04-01
"285","Disease spurs online psychological counseling service","China Daily, 747 words",NA,2020-02-12
"286","China leads in renewable energy sector","China Daily, 700 words",NA,2020-02-05
"287","Xinjiang 's stability, prosperity impressive to foreign scholars","China Daily, 379 words",NA,2019-08-01
"288","Draft seeks welfare standard for goats","China Daily, 447 words",NA,2019-08-05
"289","China helps Pakistan tackle locust plague","China Daily, 761 words",NA,2020-02-28
"290","On chinadaily.com.cn","China Daily, 424 words",NA,2019-07-11
"291","Linking HK with trade deal not in Washington's favor","China Daily, 403 words",NA,2019-08-21
"292","Hong Kong is not its backyard, and the US should know that","China Daily, 462 words",NA,2019-09-10
"293","Letter about human rights in Xinjiang called groundless effort to smear China","China Daily, 397 words",NA,2019-07-12
"294","IN BRIEF (Page 4)","China Daily, 342 words",NA,2019-05-07
"295","Xinjiang serves as a model of human rights protection","China Daily, 1006 words",NA,2019-07-06
"296","State-owned oil, gas firms help maintain economic stability","China Daily, 746 words",NA,2020-02-20
"297","Pompeo's remarks about Xinjiang both ridiculous and irresponsible","China Daily, 462 words",NA,2019-09-24
"298","Finished expressway connects isolated Xinjiang prefecture","China Daily, 426 words",NA,2019-08-03
"299","Transport network drives local economy","China Daily, 503 words",NA,2019-09-17
"300","Poverty relief money lifting poorest regions","China Daily, 391 words",NA,2019-06-27
"301","More room to roam for protected flocks of Marco Polo sheep","China Daily, 394 words",NA,2019-07-04
"302","Unified high school textbooks put emphasis on traditional values","China Daily, 479 words",NA,2019-08-28
"303","Beijing criticizes report on Xinjiang","China Daily, 374 words",NA,2019-06-25
"304","West has to discard prejudice to see real Xinjiang","China Daily, 444 words",NA,2019-08-17
"305","Slow pace of life makes foreigners feel at home","China Daily, 530 words",NA,2019-11-04
"306","US called on to end visa restrictions over Xinjiang","China Daily, 522 words",NA,2019-10-10
"307","Separatists can never split region","China Daily, 403 words",NA,2019-07-22
"308","More funds set aside for poverty fight","China Daily, 510 words",NA,2019-09-28
"309","King of Naan' succeeds on an industrial scale","China Daily, 425 words",NA,2019-08-14
"310","China plans to merge thermal power assets of State companies","China Daily, 629 words",NA,2019-12-04
"311","Rare wild mares looking for mates","China Daily, 368 words",NA,2019-06-12
"312","High-tech solution for garbage spawns market","China Daily, 458 words",NA,2019-08-19
"313","Beijing slams US defense act targeting China","China Daily, 666 words",NA,2019-12-23
"314","Governance key to national security","China Daily, 780 words",NA,2019-12-28
"315","Blacklisting of Chinese tech companies slammed","China Daily, 570 words",NA,2019-10-09
"316","Riding high on renewed wave of equestrian enthusiasm","China Daily, 588 words",NA,2019-10-09
"317","Vocational Education and Training in Xinjiang","China Daily, 7755 words",NA,2019-08-17
"318","Success in curbing terrorism leads to social harmony","China Daily, 502 words",NA,2019-09-07
"319","CNPC completes oil well drilling work in Tarim","China Daily, 451 words",NA,2019-07-30
"320","Red willow whiz's work pays dividends in desert","China Daily, 1109 words",NA,2019-07-22
"321","Campaign targets privacy problems on smartphone apps","China Daily, 646 words",NA,2019-11-12
"322","Xi: Phase one deal benefits whole world","China Daily, 672 words",NA,2019-12-23
"323","Experts defend anti-terrorism effort in Xinjiang","China Daily, 478 words",NA,2019-07-30
"324","Capital shares wealth by revitalizing rural areas, tackling poverty head-on","China Daily, 585 words",NA,2019-10-01
"325","SF embraces tech to tap demand for fresh food products","China Daily, 808 words",NA,2020-01-22
"326","Eat beat","China Daily, 343 words",NA,2019-04-20
"327","China will strengthen anti-terror efforts with Kyrgyzstan","China Daily, 394 words",NA,2019-05-23
"328","Journalists cite progress in fight against terrorism","China Daily, 1156 words",NA,2019-07-24
"329","Towering discoveries","China Daily, 1435 words",NA,2019-12-03
"330","Cherries from Central Asia gaining popularity","China Daily, 423 words",NA,2019-06-19
"331","In a first, three surgeries conducted using robots, 5G","China Daily, 516 words",NA,2019-08-29
"332","Heavy rains to sweep country this week","China Daily, 390 words",NA,2019-05-06
"333","World-class' deposit of lithium found, could ease reliance on imports","China Daily, 408 words",NA,2019-06-05
"334","Child-friendly destinations hot among summer travelers","China Daily, 480 words",NA,2019-07-15
