,Headline,Date
24,"truth about the ""death"" of uygur businessman #xinjiang.https://t.co/kpqc9kupyz",2020-03-05 11:10
25,"truth about the ""death"" of uygur businessman #xinjiang.https://t.co/lwfnsboevw",2020-03-05 11:10
26,"rt @sky_blue168: uyghur governor of shaya county in xinjiang, doing a promotion of his county. uyghur oppression? where and what have you d…",2020-03-09 10:17
27,"rt @zlj517: chinese spokesperson: we will continue to help pakistan to combat locusts &amp; #covid19. after sending an expert group, china prov…",2020-03-10 3:06
28,"rt @journalisthari: read an article on xinjiang violence, in a china portal. it said, before govt intervention, muslims used to massacre ha…",2020-03-10 4:02
29,"rt @journalisthari: read an article on xinjiang violence, in a china portal. it said, before govt intervention, muslims used to massacre ha…",2020-03-10 10:13
30,rt @globaltimesnews: china has succefully brought the epidemic under control. it's time the us do its part. #covid19 https://t.co/ywl1z2jvw…,2020-03-13 3:45
31,rt @chinaplusnews: china's #xinjiang uygur autonomous region on thursday strongly blasted all fabricated slanders and attacks over the #cov…,2020-03-13 4:05
32,"@chinadaily doctors from xinjiang went to aid wuhan,and won likes. https://t.co/ly5applazw",2020-03-13 4:15
33,rt @globaltimesnews: award winner in #us wanted in xinjiang for fraud https://t.co/c6nlezjgly https://t.co/yvqbt4kiz5,2020-03-13 5:42
34,"""east turkistan"" forces said vocational education and training centers in xinjiang are at risk of virus infection. https://t.co/3s9coo2kgi",2020-03-13 8:14
35,"china is not the myth,but always reaching out hand to those in need.",2020-03-16 10:57
36,"@globaltimesnews understandably,due to the harsh climate,uyghurs living in southern xinjiang live in poverty.finding jobs in economically-advance cities is a good way.",2020-03-16 11:39
37,rt @globaltimesnews: .@aspi_org receives funds from us govt and arm dealers. it distorts xinjiang workers' employment in other provinces as…,2020-03-16 11:45
38,"@globaltimesnews @aspi_org the apsi has long been receiving funds from the us government and arm dealers, and it deliberately smears, vilifies and demonizes china for the investors’ benefits.",2020-03-16 11:45
39,rt @globaltimesnews: it is ignorant and prejudiced for @aspi_org to say muslim workers from xinjiang in other chinese cities are prohibited…,2020-03-16 12:03
40,"@cgtnofficial the apsi has long been receiving funds from the us government and arm dealers, and it deliberately smears, vilifies and demonizes china for the investors’ benefits. https://t.co/znzzytt7kw",2020-03-16 13:17
41,rt @globaltimesnews: .@aspi_org receives funds from us govt and arm dealers. it distorts xinjiang workers' employment in other provinces as…,2020-03-17 7:23
42,rt @globaltimesnews: .@aspi_org receives funds from us govt and arm dealers. it distorts xinjiang workers' employment in other provinces as…,2020-03-17 7:29
43,rt @globaltimesnews: .@aspi_org receives funds from us govt and arm dealers. it distorts xinjiang workers' employment in other provinces as…,2020-03-17 7:29
44,"rt @echinanews: #xinjiang on monday strongly refuted a report on xinjiang labor which was issued by an australian think tank recently, sayi…",2020-03-17 11:46
45,"rt @echinanews: #xinjiang on monday strongly refuted a report on xinjiang labor which was issued by an australian think tank recently, sayi…",2020-03-17 11:46
46,"rt @echinanews: #xinjiang on monday strongly refuted a report on xinjiang labor which was issued by an australian think tank recently, sayi…",2020-03-17 11:56
47,see real china through the eyes of the reporter of bbc.,2020-03-22 10:18
48,@csis it's really funny that the western media reported xinjiang issue like it's real. https://t.co/eoqrtlz1bw,2020-03-30 13:11
49,"@terry24492280 @ozraeliavi since the rising of china,many smear of china has sprout up. but when the us has became the super power,were there any body went against?",2020-03-30 13:20
50,@indiatvnews india now go against china just because china is close to https://t.co/ndlshqm8pk,2020-03-30 13:29
51,rt @eriksolheim: good news! fighting #coronavirus works! northwest china’s 🇨🇳 xinjiang is first province to reopen all primary and high sch…,2020-03-30 13:40
52,rt @steelmuslim: this is ridiculous. there is over a million hui chinese in xinjiang province that have no issue with the current regime.…,2020-04-03 3:34
53,"@lu0annalee @carlzha and the xinjiang is the first province in china that all primary,middle schools are reopened.👍",2020-04-03 4:29
54,@radiofreeasia i never believe rfa whose reports concerning china is as ridiculous as possible.,2020-04-03 4:50
55,@xhnews this is the real xinjiang https://t.co/dyaligndsx,2020-04-04 9:49
56,"@wired for me, china just takes measures to control the terrorism and extremism,they don't do as the us which waged war on the whole islamic countries.",2020-04-05 2:50
57,"rt @tom_fowdy: what i want western commentators to understand first and foremost is that china is not simply a ""regime"" it is an identity,…",2020-04-07 3:17
58,rt @ajitxsingh: thread: a widely shared story about cremation urns accuses china of concealing tens of thousands of coronavirus deaths. thi…,2020-04-07 4:04
59,rt @thegrayzonenews: a new wave of media reports accusing china of forced labor relies almost entirely on dubious studies by purportedly “i…,2020-04-07 4:08
60,"@voachinese https://t.co/cpkv7fpmjf ‘forced labor’ stories on china brought to you by us gov, nato, arms industry to drive cold war pr blitz",2020-04-09 13:00
61,"rt @newspyre: ""anti-china forces' attacks on cotton industry in xinjiang harm local workers."" https://t.co/7tolk7howa ""once upon a time i…",2020-04-11 5:36
62,"@tom_fowdy when china instituted quarantine,the new york times says it violates people's liberty and blabla,while when italy did the same thing,the new york times says it's efforts to contain the virus. so obvious and double standard.thank you,sir. https://t.co/6t9uh3zugk",2020-04-17 3:20
63,"‘forced labor’ stories on china brought to you by us gov, nato, arms industry to drive cold war pr blitz https://t.co/rvph9qwlcj",2020-04-17 13:57
64,"@tom_fowdy @cheekymark1917 when people say good things about us,uk...they are patriotic,while accounts whose posts are for china are bot accounts or 5 cents party or brainwashed.",2020-04-18 4:00
65,"@sw805206 @nathanrichhgdw first of all not the world but only a few of the western countries,second,they don't trust china just because of ideological bigotry.",2020-04-18 4:33
66,rt @nepal_news_en: onlinekhabar: educational situation of xinjiang uygur muslims has got improved - https://t.co/nrtq2wxgfu,2020-04-23 8:54
67,situation in xinjiang that they saw with their own eyes was completely different from that of some western politicians and the media. https://t.co/zcoubhgenk,2020-04-24 3:04
68,@arslan_hidayat @ladyvelvet_hfq are these uyghur children look like being forced or living under pressure? https://t.co/hjg6tigkxk,2020-04-27 4:59
69,"rt @chinadaily: us is trying to ""demonize"" china #chinadailycartoon https://t.co/4ko9hyopdg",2020-04-29 7:18
70,rt @cgtnofficial: northwest china's #xinjiang uygur autonomous region on wednesday said the region fully follows the ethnic policies of chi…,2020-04-29 7:19
71,"@cgtnofficial see how the uyghur girl is ""tortured"" https://t.co/cvy1npzpml",2020-04-29 7:22
72,"xinjiang upholds ethnic equality, aimed at common prosperity: official https://t.co/t06o8e7jlz via @youtube",2020-04-29 7:41
73,"@dow_fairdinky @globaltimesnews @pbs why?just because of your white superiority. you're making the point. you westerners never believe news from china,just because it's from china regardless of the truth.full of ideological bigotry. https://t.co/ykuwl7jqbq",2020-04-29 8:07
74,"rt @jerry_grey2002: @swinton13499913 @kimlongxzx @cgtnofficial i was in xinjiang a few years ago when hu jin tao visited, there was a lot o…",2020-04-30 4:35
75,@radiofreeasia referring xinjiang as “east turkistan”means that rfa are totally be in side with those who wants to isolate xinjiang from china.,2020-05-03 13:30
76,"@tom_fowdy the arrogance and white superiority of westerners never allow them believe that china is doing well.they denies everything positive from chinese media,just because they are from china and nothing at all https://t.co/bmnw2ypzfr",2020-05-04 9:41
77,@solomonyue not a surprise. fortunately there are more and more know china by themselves. https://t.co/w5lpr6oahv,2020-05-12 4:14
78,"@reuterschina fate of china should be in hands of its lawmakers, not those of the u.s.https://t.co/5h5g09qln7 https://t.co/wyig8yuxts",2020-05-28 9:43
79,rt @tom_fowdy: does china get a say as to whether the uk is adequately upholding the good friday agreement in ireland? does it have the rig…,2020-05-28 10:00
80,does china get a say as to whether the uk is adequately upholding the good friday agreement in ireland? does it have the right to appoint itself as a guardian or overseer of northern ireland and threaten london with repercussions？https://t.co/oevxotuckb,2020-05-28 10:43
81,"rt @sky_blue168: female uyghur military officer in the marine, feeling proud of guarding our homeland. most uyghurs are patriotic and a lot…",2020-05-28 13:47
82,"@neworleansrene i can't say all the reports by us media about china are prapoganda,but most of them are. thank you for this. https://t.co/hsyalf3tqh",2020-05-29 5:36
83,"@jerry_grey2002 and finally there is a positive pic of xinjiang police.thank you jerry,you're telling the world what a real xinjiang is through your personal experience not through prejudice.",2020-05-30 3:24
84,"@skaijackson @realdonaldtrump it doesn't to make sense about president trump's deeds and words. look how he treats china. when comes to human rights,he said china violates hr.when covid 19 appeared,he said ask china. now minnesota protest,i'm afraid that he will say ask china. https://t.co/fk9k4jftfg",2020-05-30 4:31
85,"rt @drzhaoyongchen: the xinjiang issue is not a problem of human rights or religion, but an issue of anti-terrorism and anti-extrism. th…",2020-06-01 8:17
86,"xinjiang now is one of the most safe places,for it's strong response to the convid 19 https://t.co/oqrazkrst4 https://t.co/o2axtt5tql",2020-06-01 10:47
87,rt @evazhengll: eid celebration on the pamir plateau xinjiang https://t.co/alcozmbbk7,2020-06-01 12:54
88,@echinanews xinjiang is safer than ever. https://t.co/tsdvqxunxr,2020-06-01 13:08
89,@globaltimesnews but the good thing is that many foreigners living in china know what exactly it is.and even they are targeted. https://t.co/n8q4fzm3cd,2020-06-01 13:18
90,rt @bnn_breaking: xinjiang refutes claim of detaining children in preschool facilities https://t.co/kpfjjcvvlo via @cgtnofficial,2020-06-02 9:05
91,"@theingthing @cgtnofficial for you,every account and people saying good things about china must be brainwashed. something is there and it won't be denied. https://t.co/g62fmlrxc0",2020-06-02 11:17
92,more xinjiang residents travel across china for opportunities https://t.co/wqvlgqxmak,2020-06-03 8:18
93,rt @huangzhiking: image if it were in xinjiang of china... the western double standards in full play. https://t.co/zkz988rdux,2020-06-03 11:32
94,@xhnews beautiful uyghur kids sing songs in their language. https://t.co/ysgj0oh7xl,2020-06-03 13:22
95,"rt @sky_blue168: if u have a beautiful face, can u get enough of yourself? another uyghur family, with 3 kids. #uyghur #china https://t.co/…",2020-06-04 10:44
96,"i remember a few weeks ago i got called brainwashed ccp-troll.the truth is still that uyghurs in xinjiang live free and get a lot of support from politics. by the way,uyghur cuisine is very delicious. https://t.co/qbvfqjkda5",2020-06-05 5:25
97,"@cri_turkish china did demolish some mosques,because they were in danger of collapse and were rebuilt.",2020-06-06 9:59
98,rt @jerry_grey2002: it's difficult to discuss religious suppression when all the evidence shows that it isn't suppressed in china at all. o…,2020-06-06 10:32
99,"rt @sky_blue168: kashgar , gree flagship shop. 2 uyghur salesgirls in labor camp https://t.co/sz0osnnrak",2020-06-09 14:16
100,rt @carlzha: shouldn’t you sir disclose all your ties with us gov officials and intelligence agencies on your china reporting? https://t.co…,2020-06-11 4:05
101,"rt @jerry_grey2002: the news about the tram is interesting, but look at the food - one of the reasons ii love xinjiang so much is in three…",2020-06-11 4:19
102,"rt @mazeemkhan74: definitely there's no equivalence between china&amp;us, as china never dropped nuclear bombs on others, us did, china never…",2020-06-14 12:28
103,"rt @jerry_grey2002: mention of xinjiang over the weekend got me inundated with accusations i'm a bot, a troll, a liar a wumao or a denier.…",2020-06-15 13:04
104,rt @valeriazombies: come to taste my baked nan. xinjiang https://t.co/smkm6miq9h via @youtube,2020-06-19 2:34
105,rt @valeriazombies: come to taste my baked nan. xinjiang https://t.co/smkm6miq9h via @youtube,2020-06-19 2:45
106,@benedic92898868 and i love uyghur dance too https://t.co/vvuwfrplxo,2020-06-19 3:16
107,i'm fond of uyghur music instrument and i adore this girls. https://t.co/ik1bqybxm6,2020-06-21 11:03
108,rt @xi_fan: these are mountains that only china has. i dare say that the vast majority of hkers have no idea how magnificent china is. chin…,2020-07-04 9:35
109,"rt @jerry_grey2002: china was picked on, humiliated, shamed and bullied for over 100 years - now, it's learnt kung fu seems the entire coun…",2020-07-04 10:11
110,"@marshablackburn yes,we know https://t.co/4mmjblbxtz's time to play xinjiang card. https://t.co/v1whrbzspr",2020-07-04 10:50
111,rt @thinking_panda: the uyghur beauty named anaerhan is introducing the local specialty watermelon🍉 online. #xinjiang 's watermelon is the…,2020-07-10 15:36
112,"@jooeysiiu for some,everything about china are evil. one whoever says good thing about china are propaganda.hmmm...",2020-07-10 15:43
113,@rr_marina @hrw @hrw_chinese @hrw_brussels https://t.co/r8gmkj0il4 maybe everything we know from our media about china is not true.,2020-07-10 15:54
114,"@calicali2000 western media:oh,see!these poor uyghur kids are being forced to dance.😂",2020-07-11 3:48
115,rt @thinking_panda: the uyghur beauty named anaerhan is introducing the local specialty watermelon🍉 online. #xinjiang 's watermelon is the…,2020-07-17 2:24
116,"@thinking_panda eat melon and eat xinjiang melon, watermelon, cantaloupe",2020-07-17 2:27
117,@indurban1 @mfa_china @nytimes @bbcnews @iol @chinadaily we know the happy life of xinjiang people. there are so many keyboard guys now,2020-07-17 2:35
118,rt @xi_fan: xinjiang is peaceful and stable. i am very happy to see my dear uncles and aunts in the photos. my mom said not to expose her f…,2020-07-17 2:54
119,"rt @xhnews: a young man pursuing dreams: abduazez amet in xinjiang, china set up a childcare center to help parents in his hometown take ca…",2020-07-17 5:00
120,"rt @zhang_heqing: the grandpa and grandma are happily dancing the folk dance of xinjiang , china. https://t.co/p0cd523oba",2020-07-18 14:48
121,"rt @carlzha: also western china watchers: chinese people who talk back abt us are all bots, trolls and brainwashed bots. please ban them, w…",2020-07-20 15:54
122,rt @carlzha: western china watchers: we talk abt china but chinese people not allowed to talk back because chinese people don’t have freed…,2020-07-20 15:54
123,"xinjiang officials condemn u.s. ""sanctions"" as hegemonic acts. https://t.co/tsfh69lt9x",2020-07-21 13:12
124,"rt @636mj0munoo+i5bluglaw0oiqwhy5nsdiwl0kx6fids=: xinjiang officials condemn u.s. ""sanctions"" as hegemonic acts. https://t.co/tsfh69lt9x",2020-07-21 13:13
125,"xinjiang officials condemn u.s. ""sanctions"" as hegemonic acts. https://t.co/nhlps70buh. https://t.co/dij0be0i7f",2020-07-21 13:16
126,"q: what is china? a: china is a large asiatic nation which westerners use as an emotional punching bag for their capitalism-induced rage, propaganda-induced confusion, and fears about the death of the us empire.https://t.co/6aonomr5wo https://t.co/o0pi2zghcm",2020-07-21 13:20
127,"@blueborg16 xinjiang officials condemn u.s. ""sanctions"" as hegemonic acts. https://t.co/q1wrhlvo4y",2020-07-21 13:25
128,"@dominicraab xinjiang officials condemn u.s. ""sanctions"" as hegemonic acts.https://t.co/tsfh69lt9x https://t.co/zhfwduob4o",2020-07-21 13:27
129,"rt @636mj0munoo+i5bluglaw0oiqwhy5nsdiwl0kx6fids=: @dominicraab xinjiang officials condemn u.s. ""sanctions"" as hegemonic acts.https://t.co/tsfh69lt9x https://t.co/zhfwduob4o",2020-07-21 13:27
130,rt @echinanews: four officials in china's #xinjiang uygur autonomous region have strongly condemned the so-called sanctions recently impose…,2020-07-21 13:35
131,"@olliecarroll four officials in china's #xinjiang uygur autonomous region have strongly condemned the so-called sanctions recently imposed by the #unitedstates, calling them ""blatant hegemonic acts."" https://t.co/vzhswtn20h",2020-07-21 13:46
132,rt @636mj0munoo+i5bluglaw0oiqwhy5nsdiwl0kx6fids=: @olliecarroll four officials in china's #xinjiang uygur autonomous region have strongly condemned the so-called sanctions rec…,2020-07-21 13:47
133,rt @caitoz: q: what is china? a: china is a large asiatic nation which westerners use as an emotional punching bag for their capitalism-in…,2020-07-21 14:13
134,rt @chinadaily: gulanbar works as an accountant at a food company in kashgar of china's #xinjiang uygur autonomous region. she likes to sea…,2020-07-24 3:27
135,"@chinadaily xinjiang large plate chicken, sliver, nan....",2020-07-24 3:30
136,"@xinhuaurdu if you want to eat a variety of unique food, then come to xinjiang",2020-07-24 11:33
137,"rt @undoubtedlyabot: 1. back in 2016, france fought against radical islamist extremists with you guessed it, re-education. when china does…",2020-07-24 15:19
138,rt @nasertamimi: #china #saudi_arabia saudi arabia's ambassador to china saudi arabia fully supports china's efforts in dealing with issu…,2020-07-28 9:07
139,"in response, china dealing with the serious problem, the exact opposite of how the usa has responded to terrorism — dropping bombs on middle eastern countries, and conducting torture in places like abu ghraib or guantanamo bay. https://t.co/siu9e2o4dw https://t.co/9gzkwdujd7",2020-07-29 9:56
140,"rt @chinadaily: a farmer in hotan, #xinjiang uygur autonomous region, rozimamat has witnessed drastic changes in his hometown. ""we all live…",2020-07-30 5:37
141,"rt @garou_hidalgo: china continues to build, the usa continues to destroy. but don't forget that us propaganda tells you otherwise. guozig…",2020-08-03 4:13
142,rt @beijingreview: china vows to hit back if u.s. insists on interfering in china's internal affairs. https://t.co/9y031xczhw via @cgtnoffi…,2020-08-04 9:43
143,@cns1952 xinjiang is taking action to prevent and control the epidemic. come on,2020-08-04 9:52
144,"@bbcworld what's wrong with this video?why is it restricted?just because it shows the real xinjiang,the xinjiang that the western media don't wanna us to see?please watch, let's see! https://t.co/l1ck3jrj9u https://t.co/g0v76zprlf",2020-08-05 14:50
145,"all of the threads are hidden,marked as including sensitive content.but when i checked out,nothing is sensitive but some uyghur people's daily life.then i wonder what is sensitive?the beautiful life of uyghur? or what?@caoyi170610 @twitter https://t.co/hzxz1trrvy",2020-08-06 9:54
146,"rt @chinadaily: nurmemet, a university graduate, runs a steel factory in yarkant county, china's #xinjiang uygur autonomous region. he rece…",2020-08-07 10:37
147,"rt @mriazshah2898: urumqi is the capital city of xinjiang uygur autonomous region in northwest china. major hub on the ancient silk road ,…",2020-08-08 14:25
148,"@madmanbegins @erkinsidick he's not a uyghur boy,he and his father speaks chinese dialect,not even dialects of xinjiang.",2020-08-10 11:20
149,"@freechina15 @madmanbegins @erkinsidick chinese dialect,even not the dialect of xinjiang",2020-08-10 11:23
150,"@jerry_grey2002 the west buy everything their media say,twitter has labeled all china media as state-affiliated media,this is totally the capitalism against socialism.and thank you jerry,all you talk about xinjiang is right,no matter what the west believe it or not. https://t.co/gykon3ix0k",2020-08-10 15:59
151,@cathaypak watch how he said about xinjiang mosques https://t.co/jr0acc1n2x,2020-08-10 16:08
152,jerry has once travelled to xinjiang and watch what he said about the place. https://t.co/izoy2aztgw,2020-08-10 16:10
153,"rt @chinascio: the china-europe freight #train services handled in horgos port, northwest china's #xinjiang uygur autonomous region, hit a…",2020-08-11 3:44
154,@jianlubi xinjiang people dance whenever they like https://t.co/hsbduvgl1n,2020-08-11 14:56
155,@tom_fowdy trump and pompeo are really busy with china issue from morning to night.😂is it necessary?,2020-08-12 13:21
156,@xhnsoc__redflag china has been a country of etiquette since ancient times. courtesy is the way of hospitality.,2020-08-19 3:17
157,gulmina in traditional uyghur https://t.co/wqzzy6us0h beautiful and the dance more. https://t.co/gdiet6wsxv,2020-08-19 16:52
158,"those who have visited the region and seen for themselves the situations on the ground have feelings that xinjiang is not the home of the oppressed at all, but an easy and convenient victim of a widespread propaganda campaign. https://t.co/zabs26wymk",2020-08-20 3:33
159,rt @trianglestomac1: british-australian who been to xinjiang china 5 times say place is safe+secure+huge number of mosques for muslims +wha…,2020-08-22 13:48
160,rt @theikevin: china central television’s chinese-language international channel is now airing a documentary on xinjiang’s re-education cam…,2020-08-24 11:02
161,"@asiyeuyghur @intymedia @youtube regarding the development of china and xinjiang, many people nowadays don’t blame it, and don’t know where these people are.",2020-08-24 11:09
162,"@truth2upeople what? so obviously double-standard. twitter support all accounts smearing china and other countries in the third world,but ban or suspend any account say good things for the countries mentioned,especially china,this is what they call freedom and democracy!",2020-08-28 5:11
163,"rt @jerry_grey2002: we seldom see a xinjiang story as upbeat as this. #uyghur kids from #kashgar training in guangzhou, hoping to represent…",2020-08-28 6:34
164,"@nightravenduya china is not a ""threat"" to america,but a ""threat"" to america imperialism",2020-08-28 9:33
165,"@carlzha in xinjiang,many young guys like the traditional uyghur musical instruments https://t.co/nz5unwrjpj",2020-08-30 17:11
166,@statedept america faces many of the same problems that china faces today. there are constant fiscal crisises and financial crisises.,2020-10-12 7:46
167,@nrg8000 there are lots of people traveling to xinjiang every year. they saw by their own eyes that people of all ethnic groups live in harmony there.,2020-10-12 8:17
168,"rt @jerry_grey2002: today is the day for cgtn, gt, cctv and all other chinese media to demonstrate to the world that the uyghur ""genocide""…",2020-10-26 2:54
169,"@axios pompeo has been accusing china on xinjiang issues,but now... https://t.co/4xzcrtwy9d",2020-10-28 9:52
170,"@cosmopolitan came out w seeming damning report that china has “forced labor” i read the report and linked sources, and noticed some discrepancies. @muslimachinese @carlzha @pandemictruther @sky_blue168 a thread:",2020-10-30 11:57
171,"cosmopolitan came out w seeming damning report that china has “forced labor” i read the report and linked sources, and noticed some discrepancies. @sky_blue168 @comrademeowgo @pandemictruther @muslimachinese @carlzha a thread:",2020-10-30 12:00
172,"the claim of “since 2017, the chinese government has rounded up over one million uyghurs and other turkic and muslim people in detention camps in the xinjiang region”is from dubious source. https://t.co/ij1jdltnfp",2020-10-30 12:02
173,https://t.co/vrbkrtwthr xinjiang releases report on freedom of religious belief,2020-11-03 8:44
174,"@globaltimesnews the evil western media always imagine that china has a large number of ""concentration camps"" however, some communities, markets, factories and even cemeteries are regarded as ""#concentration #camps"" #muslim https://t.co/3dk4qxmgt6",2020-11-05 8:07
175,"@globaltimesnews if you see an evil guy saying ""there are concentration camps in xinjiang, china"" then please contact mr. andrepa95172130 he has lived in xinjiang for more than 30 years！👇 https://t.co/bzdgvmstdc",2020-11-05 8:14
176,"@chinascio i see uyghur language in every signs in jerry's video,not like the media reporting as ""language cleaning""https://t.co/kvfqgfsetr",2020-11-05 10:32
177,"@jerry_grey2002 jerry,you're great,telling us the real xinjiang is through your personal experience,not from some media reports.",2020-11-05 10:33
178,rt @acl98392818: for the western regimes especially the us tyranny regime it's all about to sabotage the economical power of china on order…,2020-11-05 10:48
179,rt @defencenewsng: xinjiang religious freedom fully guaranteed: report https://t.co/4ferlyukig,2020-11-05 10:49
180,rt @simontourcom: xinjiang uygur autonomous region is located in the northwest of china. it covers about one-sixth of the country's total t…,2020-11-05 10:59
181,"muslims, islamic clergies rebut rumors of 'religious repression' in xinjiang https://t.co/v8yrzdc1vt",2020-11-06 3:16
182,"@globaltimesnews those who have never been to xinjiang, please don’t just take some pictures to spread rumors, the beauty of xinjiang can only be known by coming to see for yourself",2020-11-06 3:20
183,"@chinascio muslims living in xinjiang must be very happy, their religious beliefs are protected and respected",2020-11-06 3:22
184,rt @defencenewsng: xinjiang religious freedom fully guaranteed: report https://t.co/4ferlyukig,2020-11-06 3:22
185,"@defencenewsng the smile of the uyghur aunt in the picture is not forced, but from the heart",2020-11-06 3:30
186,"rt @cathaypak: xinjiang islamic association: western accusations of ""forceful demolition of mosques,"" ""persecution of religious leaders,"" a…",2020-11-07 3:26
187,"@teddyboylocsin @spokespersonchn muslims in china need to earn income through their own labor, while muslims in western countries only need to demonstrate and protest to get everything they want!🥴 this is simply unfair!😡 😆🤣🤣 https://t.co/nstklkgh2v",2020-11-09 5:20
188,"rt @cgtnofficial: local uygur residents deny ""forced labor"" allegations in western media https://t.co/qmpnpofo9u",2020-11-14 9:01
189,rt @drzhaoyongchen: amateur life of xinjiang people ~ practicing uyghur dance https://t.co/xsgqkgv0uy,2020-11-16 5:41
190,@liri80 @drzhaoyongchen how about this? is she forced to teach the children uyghur dance? https://t.co/n0cktcaz6g,2020-11-16 9:58
191,"rt @chadloder: leaked video from xinjiang shows imprisoned uyghurs forced to dispose of dead covid victims. oh wait, this is actually a le…",2020-11-16 12:25
192,rt @carlzha: us gov can’t contain covid but would like to contain china,2020-11-19 5:04
193,"@mutispin @adrianzenz @jooeysiiu xinjiang has never ""destroyed"" or ""forcibly demolished"" religious sites. instead, it has taken a series of measures to protect them. https://t.co/jdaor8sgbj",2020-11-19 10:29
194,"@leongend @gordongchang xinjiang clarifies rumors on mosque demolition, takes questions from foreign media https://t.co/jdaor8sgbj",2020-11-19 10:33
195,rt @chineseeb5: lol - china can't ask chinese uyghur muslims to accept chinese values due to #uyghur muslim lives matter but macron gives u…,2020-11-22 12:20
196,rt @mango_press_: #uyghurs are being so suppressed by the state that they rap over still d.r.e in the uyghur language... https://t.co/ntjfx…,2020-11-22 12:20
197,"rt @kelvinbsp: adrian zenz anti-china propaganda these shoes had a note inside apparently written by a uyghur in a slave prison in china,…",2020-11-23 4:57
198,"rt @xinjiang_liuxm: the uyghur uncle uses douyin (#tiktok ) recommend the best quality raisins from turpan, #xinjiang to the whole country.…",2020-11-24 4:08
199,"rt @navinaheyden: those are all the correct measures that china mainland first introduced and still implement. because china is not ""democr…",2020-11-24 10:08
200,@iscaramuzzi knowledge of china cannot be limited to online rumors😕,2020-11-25 3:22
201,"china always creates miracles, and the evil western media is always jealous😆",2020-11-28 10:54
